"day","stockNum","open","close","gain"
1,1,86.29,83.8,-0.0288561826399352
2,1,84.05,85.66,0.0191552647233789
3,1,85.77,85.05,-0.00839454354669463
4,1,85.96,85.47,-0.00570032573289896
5,1,86.45,92.57,0.0707923655292075
6,1,94.75,97,0.0237467018469657
7,1,95.94,95.8,-0.00145924536168439
8,1,94.59,94.62,0.000317158261972736
9,1,95.68,97.1,0.0148411371237457
10,1,97.56,94.95,-0.0267527675276753
11,1,92.1,89.07,-0.0328990228013029
12,1,88.63,88.5,-0.0014667719733724
13,1,89.14,86.79,-0.026363024455912
14,1,85.73,85.7,-0.000349935845095079
15,1,86.68,86.7,0.000230733733271758
16,1,87.11,86.25,-0.00987257490529215
17,1,87.11,85.38,-0.019859947193204
18,1,86.3,85.94,-0.00417149478563151
19,1,86.43,85.55,-0.0101816498900846
20,1,84.86,85.73,0.0102521800612775
21,1,86.23,84.74,-0.0172793691290735
22,1,84.12,84.75,0.00748930099857341
23,1,84.3,83.94,-0.00427046263345195
24,1,84.45,84.15,-0.00355239786856125
25,1,84.48,86.15,0.0197679924242424
26,1,85.43,86.18,0.00877911740606344
27,1,85.88,83.27,-0.0303912435957149
28,1,84.43,84.88,0.00532985905483819
29,1,85.16,84.7,-0.00540159699389377
30,1,84.63,85.3,0.00791681436842729
31,1,85.44,85.21,-0.00269194756554312
32,1,85.25,84.83,-0.00492668621700882
33,1,84.65,85.9,0.0147666863555818
34,1,85.98,89.2,0.0374505698999767
35,1,90.8,89.51,-0.0142070484581497
36,1,89.16,89.07,-0.00100942126514136
37,1,89.84,88.51,-0.0148040961709706
38,1,86.3,83.93,-0.027462340672074
39,1,83,84.61,0.0193975903614458
40,1,84.03,87.06,0.0360585505176723
41,1,86.77,85.41,-0.0156736199147171
42,1,85.89,86.32,0.00500640353941079
43,1,87.8,88.19,0.00444191343963554
44,1,88.05,87.72,-0.00374787052810901
45,1,88.59,88,-0.00665989389321598
46,1,88.8,87.97,-0.00934684684684683
47,1,88.07,89.87,0.0204382877256729
48,1,89.41,88.4,-0.0112962755843864
49,1,88.6,90,0.0158013544018059
50,1,89.96,89.57,-0.00433526011560694
51,1,89.54,89.59,0.000558409649318708
52,1,90.24,91.13,0.00986258865248228
53,1,91.35,91.48,0.00142309797482222
54,1,91.99,93.87,0.0204370040221764
55,1,93.73,93.96,0.00245385682278875
56,1,93.35,93.52,0.00182110337439745
57,1,93.99,95.85,0.019789339291414
58,1,95.71,95.46,-0.00261205725629506
59,1,94.88,93.24,-0.0172849915682968
60,1,94.19,93.75,-0.00467140885444312
61,1,94.28,92.91,-0.0145311837081036
62,1,94.14,93.65,-0.00520501380922026
63,1,94.14,94.5,0.00382409177820267
64,1,94.94,94.27,-0.00705708868759218
65,1,94.12,94.68,0.00594985125371868
66,1,95.21,93.65,-0.01638483352589
67,1,93.67,94.25,0.00619195046439627
68,1,93.9,92.59,-0.01395101171459
69,1,92.04,92.19,0.0016297262059973
70,1,90.9,90.24,-0.00726072607260738
71,1,90.57,91.43,0.00949541790879998
72,1,92,90.35,-0.0179347826086957
73,1,90.16,90.4,0.00266193433895307
74,1,90.19,90.27,0.000887016298924474
75,1,90.89,90.97,0.000880184838816133
76,1,91.59,93.51,0.0209629872256797
77,1,93.96,93.24,-0.00766283524904213
78,1,94.23,95.35,0.0118858113127453
79,1,101.58,98.84,-0.0269738137428627
80,1,98.18,99.92,0.0177225504176003
81,1,100.09,99.8,-0.00289739234688786
82,1,99.59,99.47,-0.00120494025504573
83,1,99.65,100.39,0.00742599096838931
84,1,100.73,100.4,-0.00327608458254739
85,1,100.8,100.81,9.92063492064e-05
86,1,101.08,103.92,0.0280965571824298
87,1,103.47,105.06,0.0153667729776747
88,1,104.91,106.88,0.0187780001906396
89,1,106.63,107.34,0.00665853887273758
90,1,107.74,108.74,0.00928160386114721
1,2,466,467.59,0.00341201716738192
2,2,469,483.26,0.0304051172707889
3,2,482.5,487.19,0.00972020725388601
4,2,487.69,483.58,-0.00842748467264044
5,2,485.45,485.5,0.000102997219075108
6,2,484.43,489.46,0.0103833371178498
7,2,497.2,499.72,0.00506838294448922
8,2,501.99,505,0.00599613538118287
9,2,507.55,504.28,-0.00644271500344801
10,2,503.39,497.28,-0.0121377063509406
11,2,494.52,487.83,-0.0135282698374181
12,2,487.98,489.75,0.00362719783597685
13,2,492.5,480.84,-0.0236751269035534
14,2,480.79,479.05,-0.00361904365731402
15,2,484.45,499.07,0.0301785529982454
16,2,501,488.09,-0.0257684630738523
17,2,490.93,495.84,0.0100014258651946
18,2,498,492.47,-0.0111044176706827
19,2,494,494.32,0.000647773279352213
20,2,496.49,501.5,0.0100908376805172
21,2,506,481.75,-0.0479249011857708
22,2,482.61,481.5,-0.00229999378380061
23,2,477.5,467.16,-0.0216544502617801
24,2,468.1,471.48,0.00722067934202093
25,2,473.82,470.01,-0.00804102823857161
26,2,468.05,471.03,0.00636684114944976
27,2,471.65,461.89,-0.0206933107176932
28,2,460.68,458.29,-0.00518798298167923
29,2,459.15,459.1,-0.000108896874659598
30,2,460,465.93,0.0128913043478261
31,2,466,461.47,-0.0097210300429184
32,2,462.8,469.94,0.0154278305963699
33,2,468.47,472.1,0.00774862851409908
34,2,469.84,475.86,0.012812872467223
35,2,478.69,475.85,-0.00593285842612124
36,2,475.75,470.62,-0.0107829742511823
37,2,472.83,464.93,-0.0167079077046718
38,2,455,448.77,-0.0136923076923077
39,2,450.41,449.45,-0.00213139139894771
40,2,442.67,448.23,0.0125601463844399
41,2,445.11,438.68,-0.0144458673136978
42,2,437.02,440.95,0.00899272344515127
43,2,447.47,457.55,0.0225266498312736
44,2,462.69,455.64,-0.0152369837256046
45,2,459.22,454.72,-0.00979922477244022
46,2,458,452.96,-0.0110043668122271
47,2,452.57,454.75,0.00481693439688889
48,2,450.11,443.03,-0.015729488347293
49,2,443.23,448,0.0107619069106333
50,2,447.86,446.19,-0.00372884383512708
51,2,445.65,440.85,-0.0107707842477279
52,2,443.25,447.23,0.00897913141567968
53,2,445.79,445.28,-0.00114403642970916
54,2,445.3,456.55,0.0252638670559174
55,2,455.61,462.04,0.0141129474770089
56,2,461.45,461.83,0.000823491169140742
57,2,460.55,465,0.0096623602214743
58,2,463.55,463.62,0.00015100852119511
59,2,461.87,461.88,2.1651113949793e-05
60,2,464.55,460.92,-0.00781401356151113
61,2,462.1,458.16,-0.00852629301017095
62,2,457.76,458.53,0.00168210415938479
63,2,464.05,472.6,0.0184247387135007
64,2,472.14,471.02,-0.00237217774388953
65,2,471.3,471.51,0.000445576066199829
66,2,472.98,468.21,-0.0100849930229609
67,2,467.09,466.5,-0.00126313986597867
68,2,466.06,464.53,-0.00328283911942675
69,2,464,467.39,0.00730603448275859
70,2,468.45,466.29,-0.00461095100864547
71,2,468.46,474.27,0.012402339580754
72,2,473.8,472.8,-0.00211059518784297
73,2,471.26,476.01,0.0100793617111573
74,2,474.5,471.65,-0.00600632244467866
75,2,490.52,482.48,-0.016390768979858
76,2,480.1,479.08,-0.00212455738387844
77,2,478.61,477.53,-0.00225653454796189
78,2,480,477.99,-0.00418749999999998
79,2,478.1,481.18,0.00644216691068811
80,2,480.07,479.01,-0.0022080113316808
81,2,479.15,471.38,-0.0162162162162162
82,2,472.19,469,-0.00675575509858319
83,2,468.65,465.78,-0.00612397311426439
84,2,466.22,473.23,0.015035819999142
85,2,470.12,471.12,0.00212711648089849
86,2,472.14,467.27,-0.0103147371542339
87,2,466.13,466.81,0.0014588205007187
88,2,466.15,469.25,0.00665021988630274
89,2,467.04,461.47,-0.0119261733470366
90,2,461.83,466.74,0.0106316176948228
1,3,17.22,17.51,0.0168408826945414
2,3,17.55,17.68,0.00740740740740735
3,3,17.62,17.64,0.00113507377979566
4,3,17.63,17.86,0.0130459444129325
5,3,17.93,17.82,-0.00613496932515334
6,3,17.66,17.77,0.0062287655719139
7,3,17.79,17.39,-0.0224845418774592
8,3,17.35,17.5,0.00864553314121029
9,3,17.39,17.3,-0.00517538815411155
10,3,17.29,17.52,0.0133024869866975
11,3,17.48,17.12,-0.0205949656750572
12,3,17.06,17.27,0.0123094958968348
13,3,17.25,17,-0.0144927536231884
14,3,17.01,17.12,0.00646678424456199
15,3,17.11,17.14,0.00175336060783174
16,3,17.13,16.98,-0.00875656742556909
17,3,17.04,17.15,0.00645539906103283
18,3,17.09,17.27,0.0105324751316559
19,3,17.32,17.16,-0.00923787528868361
20,3,17.11,17.16,0.0029222676797195
21,3,17.22,17.05,-0.00987224157955855
22,3,17.14,17.42,0.016336056009335
23,3,17.35,17.16,-0.0109510086455332
24,3,17.13,17.02,-0.0064214827787507
25,3,17.11,16.91,-0.0116890707188778
26,3,16.87,16.71,-0.009484291641968
27,3,16.79,16.7,-0.0053603335318642
28,3,16.65,16.65,0
29,3,16.71,16.62,-0.00538599640933572
30,3,16.74,16.77,0.00179211469534057
31,3,16.84,16.91,0.00415676959619954
32,3,16.89,16.7,-0.0112492599171108
33,3,16.69,16.98,0.0173756740563211
34,3,16.97,17.2,0.0135533294048321
35,3,17.26,17.27,0.00057937427578204
36,3,17.24,16.82,-0.0243619489559164
37,3,16.91,16.82,-0.00532229450029567
38,3,16.65,16.29,-0.0216216216216216
39,3,16.37,16.43,0.00366524129505185
40,3,16.11,16.77,0.0409683426443203
41,3,16.63,16.71,0.0048105832832232
42,3,16.52,16.37,-0.00907990314769967
43,3,16.52,16.88,0.0217917675544794
44,3,16.77,16.49,-0.016696481812761
45,3,16.7,16.69,-0.000598802395209462
46,3,16.81,16.63,-0.0107079119571683
47,3,16.61,17.07,0.0276941601444913
48,3,16.93,16.65,-0.0165386887182517
49,3,16.74,16.88,0.00836320191158904
50,3,16.85,16.72,-0.00771513353115742
51,3,16.71,16.7,-0.000598444045481841
52,3,16.83,17.18,0.0207961972667856
53,3,17.25,17.55,0.0173913043478261
54,3,18.31,18.17,-0.00764609503003807
55,3,18.02,18.49,0.0260821309655937
56,3,18.46,18.24,-0.0119176598049839
57,3,18.22,18.39,0.0093304061470912
58,3,18.35,18.49,0.00762942779291537
59,3,18.34,18.17,-0.00926935659760077
60,3,18.33,18.16,-0.00927441352973258
61,3,18.15,18.13,-0.00110192837465562
